Category,Team/All_Teams,Place,Record,Year,Team
Passing Yards Allowed,3,26,2267,2052,3
Passing Yards Allowed,3,27,2272,2020,3
Passing Yards Allowed,3,28,2275,2059,3
Passing Yards Allowed,3,29,2278,2064,3
Passing Yards Allowed,3,30,2281,2066,3
Passing Yards Allowed,3,31,2295,2045,3
Passing Yards Allowed,3,32,2303,2057,3
Passing Yards Allowed,3,33,2306,2031,3
Passing Yards Allowed,3,34,2323,2023,3
Passing Yards Allowed,3,35,2326,2040,3
Passing Yards Allowed,3,36,2328,2041,3
Passing Yards Allowed,3,37,2335,2039,3
Passing Yards Allowed,3,38,2335,2063,3
Passing Yards Allowed,3,39,2340,2044,3
Passing Yards Allowed,3,40,2365,2055,3
Passing Yards Allowed,3,41,2370,2061,3
Passing Yards Allowed,3,42,2395,2054,3
Passing Yards Allowed,3,43,2405,2021,3
Passing Yards Allowed,3,44,2426,2038,3
Passing Yards Allowed,3,45,2431,2030,3
Passing Yards Allowed,3,46,2494,2037,3
Passing Yards Allowed,3,47,2554,2032,3
Passing Yards Allowed,3,48,2573,2062,3
Passing Yards Allowed,3,49,2603,2046,3
Rushing Yards,3,0,1456,2029,3
Rushing Yards,3,1,1395,2065,3
Rushing Yards,3,2,1356,2032,3
Rushing Yards,3,3,1341,2049,3
Rushing Yards,3,4,1337,2057,3
Rushing Yards,3,5,1327,2027,3
Rushing Yards,3,6,1320,2033,3
Rushing Yards,3,7,1312,2046,3
Rushing Yards,3,8,1306,2030,3
Rushing Yards,3,9,1268,2024,3
Rushing Yards,3,10,1258,2058,3
Rushing Yards,3,11,1253,2028,3
Rushing Yards,3,12,1249,2031,3
Rushing Yards,3,13,1243,2061,3
Rushing Yards,3,14,1215,2047,3
Rushing Yards,3,15,1177,2064,3
Rushing Yards,3,16,1175,2020,3
Rushing Yards,3,17,1135,2021,3
Rushing Yards,3,18,1135,2040,3
Rushing Yards,3,19,1125,2066,3
Rushing Yards,3,20,1121,2022,3
Rushing Yards,3,21,1096,2067,3
Rushing Yards,3,22,1087,2068,3
Rushing Yards,3,23,1070,2039,3
Rushing Yards,3,24,1068,2063,3
Rushing Yards,3,25,1054,2026,3
Rushing Yards,3,26,1050,2052,3
Rushing Yards,3,27,1048,2050,3
Rushing Yards,3,28,1045,2048,3
Rushing Yards,3,29,1015,2025,3
Rushing Yards,3,30,1010,2055,3
Rushing Yards,3,31,1003,2056,3
Rushing Yards,3,32,998,2062,3
Rushing Yards,3,33,992,2045,3
Rushing Yards,3,34,991,2023,3
Rushing Yards,3,35,985,2054,3
Rushing Yards,3,36,981,2044,3
Rushing Yards,3,37,970,2060,3
Rushing Yards,3,38,969,2051,3
Rushing Yards,3,39,965,2059,3
Rushing Yards,3,40,954,2069,3
Rushing Yards,3,41,935,2034,3
Rushing Yards,3,42,921,2041,3
Rushing Yards,3,43,911,2053,3
Rushing Yards,3,44,910,2036,3
Rushing Yards,3,45,869,2043,3
Rushing Yards,3,46,863,2037,3
Rushing Yards,3,47,846,2042,3
Rushing Yards,3,48,680,2035,3
Rushing Yards,3,49,663,2038,3
Rushing Yards Allowed,3,0,865,2064,3
Rushing Yards Allowed,3,1,881,2052,3
Rushing Yards Allowed,3,2,901,2054,3
Rushing Yards Allowed,3,3,908,2051,3
Rushing Yards Allowed,3,4,928,2065,3
Rushing Yards Allowed,3,5,933,2032,3
Rushing Yards Allowed,3,6,938,2068,3
Rushing Yards Allowed,3,7,957,2022,3
Rushing Yards Allowed,3,8,960,2063,3
Rushing Yards Allowed,3,9,980,2057,3
Rushing Yards Allowed,3,10,993,2020,3
Rushing Yards Allowed,3,11,997,2048,3
Rushing Yards Allowed,3,12,1000,2061,3
Rushing Yards Allowed,3,13,1003,2062,3
Rushing Yards Allowed,3,14,1010,2047,3
Rushing Yards Allowed,3,15,1012,2049,3
Rushing Yards Allowed,3,16,1045,2024,3
Rushing Yards Allowed,3,17,1061,2050,3
Rushing Yards Allowed,3,18,1084,2041,3
Rushing Yards Allowed,3,19,1093,2042,3
Rushing Yards Allowed,3,20,1097,2056,3
Rushing Yards Allowed,3,21,1099,2066,3
Rushing Yards Allowed,3,22,1110,2038,3
Rushing Yards Allowed,3,23,1125,2025,3
Rushing Yards Allowed,3,24,1150,2059,3
Rushing Yards Allowed,3,25,1151,2055,3
Rushing Yards Allowed,3,26,1156,2023,3
Rushing Yards Allowed,3,27,1158,2040,3
Rushing Yards Allowed,3,28,1164,2043,3
Rushing Yards Allowed,3,29,1172,2021,3
Rushing Yards Allowed,3,30,1204,2027,3
Rushing Yards Allowed,3,31,1205,2031,3
Rushing Yards Allowed,3,32,1218,2053,3
Rushing Yards Allowed,3,33,1220,2067,3
Rushing Yards Allowed,3,34,1229,2045,3
Rushing Yards Allowed,3,35,1240,2058,3
Rushing Yards Allowed,3,36,1243,2035,3
Rushing Yards Allowed,3,37,1250,2039,3
Rushing Yards Allowed,3,38,1288,2026,3
Rushing Yards Allowed,3,39,1295,2069,3
Rushing Yards Allowed,3,40,1313,2029,3
Rushing Yards Allowed,3,41,1333,2030,3
Rushing Yards Allowed,3,42,1350,2028,3
Rushing Yards Allowed,3,43,1373,2036,3
Rushing Yards Allowed,3,44,1385,2046,3
Rushing Yards Allowed,3,45,1388,2060,3
Rushing Yards Allowed,3,46,1396,2044,3
Rushing Yards Allowed,3,47,1402,2033,3
Rushing Yards Allowed,3,48,1413,2037,3
Rushing Yards Allowed,3,49,1430,2034,3
Total Yards,3,0,4043,2029,3
Total Yards,3,1,3953,2065,3
Total Yards,3,2,3940,2030,3
Total Yards,3,3,3861,2032,3
Total Yards,3,4,3845,2046,3
Total Yards,3,5,3796,2067,3
Total Yards,3,6,3789,2024,3
Total Yards,3,7,3746,2027,3
Total Yards,3,8,3745,2061,3
Total Yards,3,9,3741,2064,3
Total Yards,3,10,3696,2021,3
Total Yards,3,11,3677,2040,3
Total Yards,3,12,3642,2052,3
Total Yards,3,13,3631,2068,3
Total Yards,3,14,3586,2033,3
Total Yards,3,15,3572,2057,3
Total Yards,3,16,3560,2039,3
Total Yards,3,17,3550,2056,3
Total Yards,3,18,3520,2031,3
Total Yards,3,19,3506,2066,3
Total Yards,3,20,3486,2020,3
Total Yards,3,21,3467,2026,3
Total Yards,3,22,3466,2047,3
Total Yards,3,23,3432,2063,3
Total Yards,3,24,3430,2022,3
Total Yards,3,25,3406,2049,3
Total Yards,3,26,3401,2036,3
Total Yards,3,27,3395,2043,3
Total Yards,3,28,3385,2041,3
Total Yards,3,29,3357,2037,3
Total Yards,3,30,3342,2069,3
Total Yards,3,31,3336,2044,3
Total Yards,3,32,3304,2028,3
Total Yards,3,33,3295,2062,3
Total Yards,3,34,3292,2034,3
Total Yards,3,35,3271,2054,3
Total Yards,3,36,3247,2048,3
Total Yards,3,37,3234,2023,3
Total Yards,3,38,3226,2045,3
Total Yards,3,39,3176,2042,3
Total Yards,3,40,3176,2053,3
Total Yards,3,41,3153,2059,3
Total Yards,3,42,3108,2058,3
Total Yards,3,43,3105,2025,3
Total Yards,3,44,3066,2060,3
Total Yards,3,45,3036,2055,3
Total Yards,3,46,2980,2035,3
Total Yards,3,47,2965,2051,3
Total Yards,3,48,2931,2038,3
Total Yards,3,49,2828,2050,3
Total Yards Allowed,3,0,3028,2068,3
Total Yards Allowed,3,1,3088,2050,3
Total Yards Allowed,3,2,3092,2065,3
Total Yards Allowed,3,3,3098,2051,3
Total Yards Allowed,3,4,3143,2064,3
Total Yards Allowed,3,5,3149,2052,3
Total Yards Allowed,3,6,3168,2048,3
Total Yards Allowed,3,7,3176,2047,3
Total Yards Allowed,3,8,3182,2035,3
Total Yards Allowed,3,9,3195,2022,3
Total Yards Allowed,3,10,3228,2049,3
Total Yards Allowed,3,11,3244,2042,3
Total Yards Allowed,3,12,3255,2024,3
Total Yards Allowed,3,13,3260,2043,3
Total Yards Allowed,3,14,3266,2020,3
Total Yards Allowed,3,15,3269,2056,3
Total Yards Allowed,3,16,3284,2057,3
Total Yards Allowed,3,17,3295,2063,3
Total Yards Allowed,3,18,3296,2054,3
Total Yards Allowed,3,19,3308,2027,3
Total Yards Allowed,3,20,3342,2067,3
Total Yards Allowed,3,21,3361,2025,3
Total Yards Allowed,3,22,3370,2061,3
Total Yards Allowed,3,23,3380,2066,3
Total Yards Allowed,3,24,3401,2026,3
Total Yards Allowed,3,25,3413,2041,3
Total Yards Allowed,3,26,3426,2059,3
Total Yards Allowed,3,27,3441,2053,3
Total Yards Allowed,3,28,3468,2029,3
Total Yards Allowed,3,29,3475,2069,3
Total Yards Allowed,3,30,3480,2023,3
Total Yards Allowed,3,31,3485,2040,3
Total Yards Allowed,3,32,3488,2032,3
Total Yards Allowed,3,33,3501,2058,3
Total Yards Allowed,3,34,3511,2031,3
Total Yards Allowed,3,35,3517,2055,3
Total Yards Allowed,3,36,3521,2033,3
Total Yards Allowed,3,37,3525,2045,3
Total Yards Allowed,3,38,3536,2028,3
Total Yards Allowed,3,39,3536,2038,3
Total Yards Allowed,3,40,3538,2060,3
Total Yards Allowed,3,41,3576,2062,3
Total Yards Allowed,3,42,3577,2021,3
Total Yards Allowed,3,43,3586,2039,3
Total Yards Allowed,3,44,3598,2036,3
Total Yards Allowed,3,45,3678,2034,3
Total Yards Allowed,3,46,3736,2044,3
Total Yards Allowed,3,47,3764,2030,3
Total Yards Allowed,3,48,3908,2037,3
Total Yards Allowed,3,49,3988,2046,3
Pass Attempts,3,0,420,2044,3
Pass Attempts,3,1,399,2041,3
Pass Attempts,3,2,397,2043,3
Pass Attempts,3,3,395,2038,3
Pass Attempts,3,4,390,2045,3
Pass Attempts,3,5,383,2040,3
Pass Attempts,3,6,383,2052,3
Pass Attempts,3,7,382,2062,3
Pass Attempts,3,8,381,2042,3
Pass Attempts,3,9,378,2063,3
Pass Attempts,3,10,378,2069,3
Pass Attempts,3,11,375,2049,3
Pass Attempts,3,12,372,2061,3
Pass Attempts,3,13,371,2037,3
Pass Attempts,3,14,371,2065,3
Pass Attempts,3,15,367,2066,3
Pass Attempts,3,16,366,2046,3
Pass Attempts,3,17,365,2060,3
Pass Attempts,3,18,364,2048,3
Pass Attempts,3,19,363,2033,3
Pass Attempts,3,20,362,2064,3
Pass Attempts,3,21,361,2034,3
Pass Attempts,3,22,361,2035,3
Pass Attempts,3,23,361,2053,3
Pass Attempts,3,24,360,2055,3
Pass Attempts,3,25,360,2059,3
Pass Attempts,3,26,358,2026,3
Pass Attempts,3,27,357,2067,3
Pass Attempts,3,28,355,2024,3
Pass Attempts,3,29,355,2031,3
Pass Attempts,3,30,355,2039,3
Pass Attempts,3,31,354,2036,3
Pass Attempts,3,32,350,2021,3
Pass Attempts,3,33,350,2022,3
Pass Attempts,3,34,350,2030,3
Pass Attempts,3,35,349,2057,3
Pass Attempts,3,36,349,2068,3
Pass Attempts,3,37,348,2028,3
Pass Attempts,3,38,348,2051,3
Pass Attempts,3,39,348,2056,3
Pass Attempts,3,40,347,2047,3
Pass Attempts,3,41,344,2020,3
Pass Attempts,3,42,343,2054,3
Pass Attempts,3,43,341,2025,3
Pass Attempts,3,44,341,2032,3
Pass Attempts,3,45,341,2050,3
Pass Attempts,3,46,336,2027,3
Pass Attempts,3,47,335,2029,3
Pass Attempts,3,48,333,2023,3
Pass Attempts,3,49,329,2058,3
Rush Attempts,3,0,304,2065,3
Rush Attempts,3,1,299,2029,3
Rush Attempts,3,2,293,2032,3
Rush Attempts,3,3,292,2027,3
Rush Attempts,3,4,289,2057,3
Rush Attempts,3,5,288,2021,3
Rush Attempts,3,6,288,2068,3
Rush Attempts,3,7,286,2058,3
Rush Attempts,3,8,285,2024,3
Rush Attempts,3,9,285,2031,3
Rush Attempts,3,10,284,2056,3
Rush Attempts,3,11,281,2039,3
Rush Attempts,3,12,279,2020,3
Rush Attempts,3,13,278,2040,3
Rush Attempts,3,14,278,2049,3
Rush Attempts,3,15,276,2066,3
Rush Attempts,3,16,275,2052,3
Rush Attempts,3,17,275,2064,3
Rush Attempts,3,18,274,2067,3
Rush Attempts,3,19,272,2028,3
Rush Attempts,3,20,271,2022,3
Rush Attempts,3,21,271,2050,3
Rush Attempts,3,22,270,2063,3
Rush Attempts,3,23,269,2025,3
Rush Attempts,3,24,269,2061,3
Rush Attempts,3,25,266,2041,3
Rush Attempts,3,26,266,2051,3
Rush Attempts,3,27,265,2033,3
Rush Attempts,3,28,265,2047,3
Rush Attempts,3,29,262,2048,3
Rush Attempts,3,30,260,2046,3
Rush Attempts,3,31,260,2059,3
Rush Attempts,3,32,258,2062,3
Rush Attempts,3,33,256,2023,3
Rush Attempts,3,34,256,2036,3
Rush Attempts,3,35,255,2026,3
Rush Attempts,3,36,255,2030,3
Rush Attempts,3,37,253,2054,3
Rush Attempts,3,38,251,2045,3
Rush Attempts,3,39,249,2069,3
Rush Attempts,3,40,247,2053,3
Rush Attempts,3,41,246,2034,3
Rush Attempts,3,42,244,2037,3
Rush Attempts,3,43,244,2043,3
Rush Attempts,3,44,242,2060,3
Rush Attempts,3,45,237,2035,3
Rush Attempts,3,46,236,2042,3
Rush Attempts,3,47,236,2055,3
Rush Attempts,3,48,235,2038,3
Rush Attempts,3,49,211,2044,3
Points Scored,4,0,268,2051,4
Points Scored,4,1,259,2021,4
Points Scored,4,2,258,2059,4
Points Scored,4,3,255,2043,4
Points Scored,4,4,254,2041,4
Points Scored,4,5,245,2039,4
Points Scored,4,6,238,2023,4
Points Scored,4,7,236,2063,4
Points Scored,4,8,235,2038,4
Points Scored,4,9,235,2052,4
Points Scored,4,10,233,2037,4
Points Scored,4,11,233,2044,4
Points Scored,4,12,230,2036,4
Points Scored,4,13,227,2050,4
Points Scored,4,14,227,2054,4
Points Scored,4,15,226,2058,4
Points Scored,4,16,224,2029,4
Points Scored,4,17,222,2061,4
Points Scored,4,18,219,2062,4
Points Scored,4,19,218,2048,4
Points Scored,4,20,217,2069,4
Points Scored,4,21,215,2024,4
Points Scored,4,22,211,2035,4
Points Scored,4,23,211,2049,4
Points Scored,4,24,210,2027,4
Points Scored,4,25,208,2066,4
Points Scored,4,26,207,2056,4
Points Scored,4,27,206,2020,4
Points Scored,4,28,206,2031,4
Points Scored,4,29,204,2060,4
Points Scored,4,30,203,2065,4
Points Scored,4,31,201,2032,4
Points Scored,4,32,201,2033,4
Points Scored,4,33,200,2025,4
Points Scored,4,34,200,2046,4
Points Scored,4,35,196,2022,4
Points Scored,4,36,196,2045,4
Points Scored,4,37,194,2064,4
Points Scored,4,38,193,2047,4
Points Scored,4,39,193,2067,4
Points Scored,4,40,191,2030,4
Points Scored,4,41,190,2028,4
Points Scored,4,42,185,2026,4
Points Scored,4,43,183,2042,4
Points Scored,4,44,180,2034,4
Points Scored,4,45,178,2057,4
Points Scored,4,46,177,2068,4
Points Scored,4,47,161,2053,4
Points Scored,4,48,160,2040,4
Points Scored,4,49,149,2055,4
Points Allowed,4,0,148,2043,4
Points Allowed,4,1,149,2032,4
Points Allowed,4,2,157,2028,4
Points Allowed,4,3,165,2030,4
Points Allowed,4,4,165,2048,4
Points Allowed,4,5,168,2035,4
Points Allowed,4,6,171,2036,4
Points Allowed,4,7,171,2041,4
Points Allowed,4,8,175,2031,4
Points Allowed,4,9,177,2059,4
Points Allowed,4,10,182,2067,4
Points Allowed,4,11,183,2042,4
Points Allowed,4,12,184,2069,4
Points Allowed,4,13,185,2025,4
Points Allowed,4,14,186,2051,4
Points Allowed,4,15,190,2061,4
Points Allowed,4,16,192,2066,4
Points Allowed,4,17,193,2034,4
Points Allowed,4,18,193,2044,4
Points Allowed,4,19,193,2058,4
Points Allowed,4,20,193,2060,4
Points Allowed,4,21,194,2057,4
Points Allowed,4,22,195,2052,4
Points Allowed,4,23,195,2065,4
Points Allowed,4,24,196,2050,4
Points Allowed,4,25,197,2038,4
Points Allowed,4,26,197,2040,4
Points Allowed,4,27,198,2021,4
Points Allowed,4,28,198,2056,4
Points Allowed,4,29,199,2046,4
Points Allowed,4,30,204,2045,4
Points Allowed,4,31,204,2049,4
Points Allowed,4,32,206,2026,4
Points Allowed,4,33,206,2064,4
Points Allowed,4,34,207,2027,4
Points Allowed,4,35,208,2020,4
Points Allowed,4,36,208,2024,4
Points Allowed,4,37,208,2033,4
Points Allowed,4,38,208,2039,4
Points Allowed,4,39,218,2047,4
Points Allowed,4,40,221,2055,4
Points Allowed,4,41,223,2022,4
Points Allowed,4,42,223,2029,4
Points Allowed,4,43,223,2054,4
Points Allowed,4,44,225,2023,4
Points Allowed,4,45,232,2037,4
Points Allowed,4,46,236,2053,4
Points Allowed,4,47,238,2062,4
Points Allowed,4,48,251,2063,4
Points Allowed,4,49,258,2068,4
Passing Yards,4,0,2798,2021,4
Passing Yards,4,1,2750,2023,4
Passing Yards,4,2,2719,2058,4
Passing Yards,4,3,2631,2060,4
Passing Yards,4,4,2593,2062,4
Passing Yards,4,5,2589,2059,4
Passing Yards,4,6,2548,2066,4
Passing Yards,4,7,2524,2061,4
Passing Yards,4,8,2507,2065,4
Passing Yards,4,9,2506,2026,4
Passing Yards,4,10,2484,2043,4
Passing Yards,4,11,2481,2034,4
Passing Yards,4,12,2461,2022,4
Passing Yards,4,13,2441,2033,4
Passing Yards,4,14,2395,2032,4
Passing Yards,4,15,2393,2020,4
Passing Yards,4,16,2391,2050,4
Passing Yards,4,17,2382,2044,4
Passing Yards,4,18,2367,2037,4
Passing Yards,4,19,2354,2036,4
Passing Yards,4,20,2348,2024,4
Passing Yards,4,21,2343,2038,4
Passing Yards,4,22,2335,2041,4
Passing Yards,4,23,2320,2029,4
Passing Yards,4,24,2286,2054,4
Passing Yards,4,25,2257,2035,4
Passing Yards,4,26,2245,2042,4
Passing Yards,4,27,2242,2047,4
Passing Yards,4,28,2225,2057,4
Passing Yards,4,29,2225,2063,4
Passing Yards,4,30,2220,2031,4
Passing Yards,4,31,2217,2027,4
Passing Yards,4,32,2209,2056,4
Passing Yards,4,33,2200,2068,4
Passing Yards,4,34,2196,2069,4
Passing Yards,4,35,2194,2051,4
Passing Yards,4,36,2183,2025,4
Passing Yards,4,37,2183,2052,4
Passing Yards,4,38,2170,2064,4
Passing Yards,4,39,2150,2046,4
Passing Yards,4,40,2118,2055,4
Passing Yards,4,41,2115,2039,4
Passing Yards,4,42,2103,2048,4
Passing Yards,4,43,2091,2040,4
Passing Yards,4,44,2045,2045,4
Passing Yards,4,45,2035,2028,4
Passing Yards,4,46,1930,2053,4
Passing Yards,4,47,1915,2067,4
Passing Yards,4,48,1907,2049,4
Passing Yards,4,49,1887,2030,4
Passing Yards Allowed,4,0,1908,2030,4
Passing Yards Allowed,4,1,1960,2053,4
Passing Yards Allowed,4,2,2015,2035,4
Passing Yards Allowed,4,3,2088,2065,4
Passing Yards Allowed,4,4,2091,2036,4
Passing Yards Allowed,4,5,2116,2028,4
Passing Yards Allowed,4,6,2141,2034,4
Passing Yards Allowed,4,7,2147,2042,4
Passing Yards Allowed,4,8,2158,2047,4
Passing Yards Allowed,4,9,2168,2032,4
Passing Yards Allowed,4,10,2172,2045,4
Passing Yards Allowed,4,11,2185,2068,4
Passing Yards Allowed,4,12,2198,2029,4
Passing Yards Allowed,4,13,2200,2033,4
Passing Yards Allowed,4,14,2204,2061,4
Passing Yards Allowed,4,15,2215,2048,4
Passing Yards Allowed,4,16,2225,2038,4
Passing Yards Allowed,4,17,2245,2055,4
Passing Yards Allowed,4,18,2245,2057,4
Passing Yards Allowed,4,19,2269,2026,4
Passing Yards Allowed,4,20,2273,2064,4
Passing Yards Allowed,4,21,2285,2037,4
Passing Yards Allowed,4,22,2292,2043,4
Passing Yards Allowed,4,23,2309,2020,4
Passing Yards Allowed,4,24,2310,2049,4
Passing Yards Allowed,4,25,2315,2058,4
Passing Yards Allowed,4,26,2320,2046,4
Passing Yards Allowed,4,27,2325,2039,4
Passing Yards Allowed,4,28,2335,2044,4
Passing Yards Allowed,4,29,2360,2050,4
Passing Yards Allowed,4,30,2367,2024,4
Passing Yards Allowed,4,31,2367,2062,4
Passing Yards Allowed,4,32,2368,2021,4
Passing Yards Allowed,4,33,2372,2052,4
Passing Yards Allowed,4,34,2373,2040,4
Passing Yards Allowed,4,35,2375,2031,4
Passing Yards Allowed,4,36,2379,2056,4
Passing Yards Allowed,4,37,2383,2025,4
Passing Yards Allowed,4,38,2390,2022,4
Passing Yards Allowed,4,39,2396,2027,4
Passing Yards Allowed,4,40,2397,2069,4
Passing Yards Allowed,4,41,2405,2059,4
Passing Yards Allowed,4,42,2411,2060,4
Passing Yards Allowed,4,43,2433,2066,4
Passing Yards Allowed,4,44,2437,2054,4
Passing Yards Allowed,4,45,2500,2051,4
Passing Yards Allowed,4,46,2541,2041,4
Passing Yards Allowed,4,47,2597,2023,4
Passing Yards Allowed,4,48,2638,2063,4
Passing Yards Allowed,4,49,2638,2067,4
Rushing Yards,4,0,1793,2052,4
Rushing Yards,4,1,1686,2051,4
Rushing Yards,4,2,1670,2048,4
Rushing Yards,4,3,1651,2049,4
Rushing Yards,4,4,1550,2050,4
Rushing Yards,4,5,1506,2028,4
Rushing Yards,4,6,1486,2036,4
Rushing Yards,4,7,1388,2045,4
Rushing Yards,4,8,1370,2046,4
Rushing Yards,4,9,1326,2035,4
Rushing Yards,4,10,1310,2041,4
Rushing Yards,4,11,1299,2063,4
Rushing Yards,4,12,1281,2069,4
Rushing Yards,4,13,1272,2029,4
Rushing Yards,4,14,1264,2027,4
Rushing Yards,4,15,1261,2039,4
Rushing Yards,4,16,1255,2044,4
Rushing Yards,4,17,1244,2037,4
Rushing Yards,4,18,1170,2062,4
Rushing Yards,4,19,1161,2053,4
Rushing Yards,4,20,1138,2042,4
Rushing Yards,4,21,1136,2067,4
Rushing Yards,4,22,1125,2025,4
Rushing Yards,4,23,1125,2056,4
Rushing Yards,4,24,1109,2060,4
Rushing Yards,4,25,1105,2021,4
Rushing Yards,4,26,1105,2038,4
Rushing Yards,4,27,1096,2057,4
Rushing Yards,4,28,1078,2043,4
Rushing Yards,4,29,1076,2022,4
Rushing Yards,4,30,1076,2058,4
Rushing Yards,4,31,1075,2026,4
Rushing Yards,4,32,1075,2030,4
Rushing Yards,4,33,1057,2061,4
Rushing Yards,4,34,1051,2059,4
Rushing Yards,4,35,1048,2064,4
Rushing Yards,4,36,1022,2068,4
Rushing Yards,4,37,1016,2032,4
Rushing Yards,4,38,999,2031,4
Rushing Yards,4,39,999,2065,4
Rushing Yards,4,40,995,2066,4
Rushing Yards,4,41,991,2024,4
Rushing Yards,4,42,981,2054,4
Rushing Yards,4,43,962,2047,4
Rushing Yards,4,44,960,2023,4
Rushing Yards,4,45,933,2033,4
Rushing Yards,4,46,915,2020,4
Rushing Yards,4,47,878,2034,4
Rushing Yards,4,48,835,2040,4
Rushing Yards,4,49,765,2055,4
Rushing Yards Allowed,4,0,779,2059,4
Rushing Yards Allowed,4,1,825,2060,4
Rushing Yards Allowed,4,2,858,2051,4
Rushing Yards Allowed,4,3,861,2069,4
Rushing Yards Allowed,4,4,896,2020,4
Rushing Yards Allowed,4,5,897,2054,4
Rushing Yards Allowed,4,6,902,2066,4
Rushing Yards Allowed,4,7,903,2050,4
Rushing Yards Allowed,4,8,910,2057,4
Rushing Yards Allowed,4,9,920,2056,4
Rushing Yards Allowed,4,10,960,2049,4
Rushing Yards Allowed,4,11,963,2024,4
Rushing Yards Allowed,4,12,965,2048,4
Rushing Yards Allowed,4,13,970,2043,4
Rushing Yards Allowed,4,14,973,2058,4
Rushing Yards Allowed,4,15,991,2036,4
Rushing Yards Allowed,4,16,1004,2023,4
Rushing Yards Allowed,4,17,1005,2052,4
Rushing Yards Allowed,4,18,1009,2022,4
Rushing Yards Allowed,4,19,1013,2032,4
Rushing Yards Allowed,4,20,1028,2028,4
Rushing Yards Allowed,4,21,1050,2021,4
Rushing Yards Allowed,4,22,1051,2026,4
Rushing Yards Allowed,4,23,1061,2062,4
Rushing Yards Allowed,4,24,1077,2045,4
Rushing Yards Allowed,4,25,1083,2064,4
Rushing Yards Allowed,4,26,1095,2041,4
Rushing Yards Allowed,4,27,1096,2040,4
Rushing Yards Allowed,4,28,1111,2035,4
Rushing Yards Allowed,4,29,1122,2033,4
Rushing Yards Allowed,4,30,1130,2065,4
Rushing Yards Allowed,4,31,1130,2067,4
Rushing Yards Allowed,4,32,1133,2038,4
Rushing Yards Allowed,4,33,1145,2044,4
Rushing Yards Allowed,4,34,1156,2042,4
Rushing Yards Allowed,4,35,1165,2031,4
Rushing Yards Allowed,4,36,1167,2063,4
Rushing Yards Allowed,4,37,1191,2046,4
Rushing Yards Allowed,4,38,1210,2055,4
Rushing Yards Allowed,4,39,1215,2027,4
Rushing Yards Allowed,4,40,1226,2039,4
Rushing Yards Allowed,4,41,1243,2025,4
Rushing Yards Allowed,4,42,1253,2053,4
Rushing Yards Allowed,4,43,1278,2047,4
Rushing Yards Allowed,4,44,1280,2037,4
Rushing Yards Allowed,4,45,1293,2068,4
Rushing Yards Allowed,4,46,1295,2061,4
Rushing Yards Allowed,4,47,1353,2034,4
Rushing Yards Allowed,4,48,1367,2029,4
Rushing Yards Allowed,4,49,1405,2030,4
Total Yards,4,0,3976,2052,4
Total Yards,4,1,3941,2050,4
Total Yards,4,2,3904,2021,4
Total Yards,4,3,3881,2051,4
Total Yards,4,4,3841,2036,4
Total Yards,4,5,3795,2058,4
Total Yards,4,6,3773,2048,4
Total Yards,4,7,3764,2062,4
Total Yards,4,8,3741,2060,4
Total Yards,4,9,3710,2023,4
Total Yards,4,10,3646,2041,4
Total Yards,4,11,3641,2059,4
Total Yards,4,12,3637,2044,4
Total Yards,4,13,3611,2037,4
Total Yards,4,14,3593,2029,4
Total Yards,4,15,3584,2035,4
Total Yards,4,16,3581,2026,4
Total Yards,4,17,3581,2061,4
Total Yards,4,18,3563,2043,4
Total Yards,4,19,3558,2049,4
Total Yards,4,20,3543,2066,4
Total Yards,4,21,3541,2028,4
Total Yards,4,22,3538,2022,4
Total Yards,4,23,3524,2063,4
Total Yards,4,24,3521,2046,4
Total Yards,4,25,3506,2065,4
Total Yards,4,26,3481,2027,4
Total Yards,4,27,3478,2069,4
Total Yards,4,28,3449,2038,4
Total Yards,4,29,3433,2045,4
Total Yards,4,30,3411,2032,4
Total Yards,4,31,3383,2042,4
Total Yards,4,32,3376,2039,4
Total Yards,4,33,3375,2033,4
Total Yards,4,34,3360,2034,4
Total Yards,4,35,3339,2024,4
Total Yards,4,36,3335,2056,4
Total Yards,4,37,3321,2057,4
Total Yards,4,38,3309,2020,4
Total Yards,4,39,3308,2025,4
Total Yards,4,40,3267,2054,4
Total Yards,4,41,3222,2068,4
Total Yards,4,42,3220,2031,4
Total Yards,4,43,3218,2064,4
Total Yards,4,44,3205,2047,4
Total Yards,4,45,3091,2053,4
Total Yards,4,46,3051,2067,4
Total Yards,4,47,2962,2030,4
Total Yards,4,48,2926,2040,4
Total Yards,4,49,2883,2055,4
Total Yards Allowed,4,0,3083,2036,4
Total Yards Allowed,4,1,3126,2035,4
Total Yards Allowed,4,2,3145,2028,4
Total Yards Allowed,4,3,3155,2057,4
Total Yards Allowed,4,4,3180,2048,4
Total Yards Allowed,4,5,3181,2032,4
Total Yards Allowed,4,6,3185,2059,4
Total Yards Allowed,4,7,3206,2020,4
Total Yards Allowed,4,8,3213,2053,4
Total Yards Allowed,4,9,3218,2065,4
Total Yards Allowed,4,10,3236,2060,4
Total Yards Allowed,4,11,3250,2045,4
Total Yards Allowed,4,12,3258,2069,4
Total Yards Allowed,4,13,3263,2043,4
Total Yards Allowed,4,14,3263,2050,4
Total Yards Allowed,4,15,3270,2049,4
Total Yards Allowed,4,16,3289,2058,4
Total Yards Allowed,4,17,3300,2056,4
Total Yards Allowed,4,18,3303,2042,4
