Year,Award,Player/Coach,Team
2058,All-League Second Team Offensive Guard,31939,28
2058,All-League Second Team Offensive Tackle,27038,21
2058,All-League Second Team Offensive Tackle,33685,6
2058,All-League Second Team Punter,32031,18
2058,All-League Second Team Kicker,27089,0
2058,All-League Second Team Defensive End,33010,23
2058,All-League Second Team Defensive End,33831,9
2058,All-League Second Team Defensive Tackle,25409,7
2058,All-League Second Team Defensive Tackle,32177,22
2058,All-League Second Team Inside Linebacker,30540,11
2058,All-League Second Team Outside Linebacker,31371,13
2058,All-League Second Team Outside Linebacker,31433,0
2058,All-League Second Team Cornerback,29899,27
2058,All-League Second Team Cornerback,30686,28
2058,All-League Second Team Safety,29957,30
2058,All-League Second Team Safety,27388,23
2058,League's Fastest Man,33537,22
2058,League's Strongest Man,30301,13
2057,Legend of the Game,20719,14
2057,Coach of the Year,761,10
2057,Player of the Year,26666,28
2057,Front Office Bowl MVP,32534,29
2057,Offensive Player of the Year,26666,28
2057,Defensive Player of the Year,29638,1
2057,Offensive Rookie of the Year,33357,14
2057,Defensive Rookie of the Year,33914,14
2057,All-League First Team Quarterback,26666,28
2057,All-League First Team Running Back,30873,24
2057,All-League First Team Fullback,29260,17
2057,All-League First Team Tight End,31774,17
2057,All-League First Team Wide Receiver,29386,27
2057,All-League First Team Wide Receiver,29384,26
2057,All-League First Team Center,26907,24
2057,All-League First Team Offensive Guard,28654,15
2057,All-League First Team Offensive Guard,30294,2
2057,All-League First Team Offensive Tackle,28687,7
2057,All-League First Team Offensive Tackle,30345,1
2057,All-League First Team Punter,29587,0
2057,All-League First Team Kicker,32917,29
2057,All-League First Team Defensive End,29638,1
2057,All-League First Team Defensive End,30451,6
2057,All-League First Team Defensive Tackle,30510,10
2057,All-League First Team Defensive Tackle,32191,15
2057,All-League First Team Inside Linebacker,26429,23
2057,All-League First Team Outside Linebacker,29805,6
2057,All-League First Team Outside Linebacker,29831,4
2057,All-League First Team Cornerback,29043,17
2057,All-League First Team Cornerback,29893,22
2057,All-League First Team Safety,29915,31
2057,All-League First Team Safety,33240,13
2057,All-League Second Team Quarterback,32461,6
2057,All-League Second Team Running Back,32519,4
2057,All-League Second Team Fullback,27589,24
2057,All-League Second Team Tight End,30921,15
2057,All-League Second Team Wide Receiver,27692,25
2057,All-League Second Team Wide Receiver,31031,29
2057,All-League Second Team Center,31072,12
2057,All-League Second Team Offensive Guard,29488,17
2057,All-League Second Team Offensive Guard,29482,29
2057,All-League Second Team Offensive Tackle,30380,2
2057,All-League Second Team Offensive Tackle,28664,20
2057,All-League Second Team Punter,24532,22
2057,All-League Second Team Kicker,31221,9
2057,All-League Second Team Defensive End,28780,17
2057,All-League Second Team Defensive End,28803,22
2057,All-League Second Team Defensive Tackle,32164,26
2057,All-League Second Team Defensive Tackle,29700,14
2057,All-League Second Team Inside Linebacker,33914,14
2057,All-League Second Team Outside Linebacker,29775,20
2057,All-League Second Team Outside Linebacker,29786,22
2057,All-League Second Team Cornerback,29014,11
2057,All-League Second Team Cornerback,32354,2
2057,All-League Second Team Safety,29951,21
2057,All-League Second Team Safety,33277,19
2057,League's Fastest Man,29834,30
2057,League's Strongest Man,28610,12
2056,Legend of the Game,19896,5
2056,Coach of the Year,595,22
2056,Player of the Year,28285,30
2056,Front Office Bowl MVP,27497,7
2056,Offensive Player of the Year,28285,30
2056,Defensive Player of the Year,28803,22
2056,Offensive Rookie of the Year,32519,4
2056,Defensive Rookie of the Year,33053,4
2056,All-League First Team Quarterback,28285,30
2056,All-League First Team Running Back,28388,21
2056,All-League First Team Fullback,28424,19
2056,All-League First Team Tight End,30953,9
2056,All-League First Team Wide Receiver,30196,27
2056,All-League First Team Wide Receiver,24367,27
2056,All-League First Team Center,31066,22
2056,All-League First Team Offensive Guard,26149,12
2056,All-League First Team Offensive Guard,29492,6
2056,All-League First Team Offensive Tackle,28694,27
2056,All-League First Team Offensive Tackle,28688,5
2056,All-League First Team Punter,29580,10
2056,All-League First Team Kicker,31221,9
2056,All-League First Team Defensive End,28803,22
2056,All-League First Team Defensive End,27106,4
2056,All-League First Team Defensive Tackle,32164,26
2056,All-League First Team Defensive Tackle,30509,17
2056,All-League First Team Inside Linebacker,28903,16
2056,All-League First Team Outside Linebacker,29805,6
2056,All-League First Team Outside Linebacker,32274,2
2056,All-League First Team Cornerback,29893,22
2056,All-League First Team Cornerback,29043,17
2056,All-League First Team Safety,27388,23
2056,All-League First Team Safety,29114,24
2056,All-League Second Team Quarterback,26666,28
2056,All-League Second Team Running Back,30873,24
2056,All-League Second Team Fullback,26751,18
2056,All-League Second Team Tight End,31774,17
2056,All-League Second Team Wide Receiver,27692,25
2056,All-League Second Team Wide Receiver,30184,14
2056,All-League Second Team Center,27759,13
2056,All-League Second Team Offensive Guard,29482,29
2056,All-League Second Team Offensive Guard,22780,5
2056,All-League Second Team Offensive Tackle,27841,7
2056,All-League Second Team Offensive Tackle,28664,20
2056,All-League Second Team Punter,24542,1
2056,All-League Second Team Kicker,32922,20
2056,All-League Second Team Defensive End,30451,6
2056,All-League Second Team Defensive End,27134,14
2056,All-League Second Team Defensive Tackle,28007,1
2056,All-League Second Team Defensive Tackle,32165,10
2056,All-League Second Team Inside Linebacker,30540,11
2056,All-League Second Team Outside Linebacker,29812,7
2056,All-League Second Team Outside Linebacker,28100,5
2056,All-League Second Team Cornerback,27375,11
2056,All-League Second Team Cornerback,24803,29
2056,All-League Second Team Safety,29942,25
2056,All-League Second Team Safety,26568,14
2056,League's Fastest Man,29386,27
2056,League's Strongest Man,31996,7
2055,Legend of the Game,18179,23
2055,Coach of the Year,332,10
2055,Player of the Year,28285,30
2055,Front Office Bowl MVP,28193,2
2055,Offensive Player of the Year,28285,30
2055,Defensive Player of the Year,30451,6
2055,Offensive Rookie of the Year,31689,9
2055,Defensive Rookie of the Year,32114,29
2055,All-League First Team Quarterback,28285,30
2055,All-League First Team Running Back,30873,24
2055,All-League First Team Fullback,27589,24
2055,All-League First Team Tight End,30921,15
2055,All-League First Team Wide Receiver,30211,16
2055,All-League First Team Wide Receiver,28486,22
2055,All-League First Team Center,31072,12
2055,All-League First Team Offensive Guard,30315,30
2055,All-League First Team Offensive Guard,30282,23
2055,All-League First Team Offensive Tackle,22824,26
2055,All-League First Team Offensive Tackle,22791,20
2055,All-League First Team Punter,24526,3
2055,All-League First Team Kicker,26247,8
2055,All-League First Team Defensive End,30451,6
2055,All-League First Team Defensive End,31278,31
2055,All-League First Team Defensive Tackle,30509,17
2055,All-League First Team Defensive Tackle,28007,1
2055,All-League First Team Inside Linebacker,30540,11
2055,All-League First Team Outside Linebacker,29805,6
2055,All-League First Team Outside Linebacker,27271,13
2055,All-League First Team Cornerback,31497,4
2055,All-League First Team Cornerback,29043,17
2055,All-League First Team Safety,31577,13
2055,All-League First Team Safety,30752,9
2055,All-League Second Team Quarterback,25814,19
2055,All-League Second Team Running Back,27548,12
2055,All-League Second Team Fullback,27573,11
2055,All-League Second Team Tight End,28438,14
2055,All-League Second Team Wide Receiver,29367,10
2055,All-League Second Team Wide Receiver,27647,23
2055,All-League Second Team Center,21006,11
2055,All-League Second Team Offensive Guard,28658,30
2055,All-League Second Team Offensive Guard,27807,11
2055,All-League Second Team Offensive Tackle,26195,12
2055,All-League Second Team Offensive Tackle,27841,7
2055,All-League Second Team Punter,25378,31
2055,All-League Second Team Kicker,23739,26
2055,All-League Second Team Defensive End,32114,29
2055,All-League Second Team Defensive End,28803,22
2055,All-League Second Team Defensive Tackle,24652,22
2055,All-League Second Team Defensive Tackle,26324,29
2055,All-League Second Team Inside Linebacker,27250,31
2055,All-League Second Team Outside Linebacker,31433,17
2055,All-League Second Team Outside Linebacker,28123,8
2055,All-League Second Team Cornerback,29859,15
2055,All-League Second Team Cornerback,24803,29
2055,All-League Second Team Safety,31541,0
2055,All-League Second Team Safety,25732,3
2055,League's Fastest Man,26852,15
2055,League's Strongest Man,28610,12
2054,Legend of the Game,17399,25
2054,Coach of the Year,764,9
2054,Player of the Year,27449,21
2054,Front Office Bowl MVP,25816,27
2054,Offensive Player of the Year,27449,21
2054,Defensive Player of the Year,27310,28
2054,Offensive Rookie of the Year,30873,24
2054,Defensive Rookie of the Year,31577,13
2054,All-League First Team Quarterback,27449,21
2054,All-League First Team Running Back,26690,30
2054,All-League First Team Fullback,26766,27
2054,All-League First Team Tight End,28447,19
2054,All-League First Team Wide Receiver,27692,25
2054,All-League First Team Wide Receiver,28513,7
2054,All-League First Team Center,25224,8
2054,All-League First Team Offensive Guard,23612,8
2054,All-League First Team Offensive Guard,30286,29
2054,All-League First Team Offensive Tackle,27038,21
2054,All-League First Team Offensive Tackle,28694,27
2054,All-League First Team Punter,27073,23
2054,All-League First Team Kicker,31219,28
2054,All-League First Team Defensive End,30451,6
2054,All-League First Team Defensive End,26307,3
2054,All-League First Team Defensive Tackle,28007,1
2054,All-League First Team Defensive Tackle,29674,1
2054,All-League First Team Inside Linebacker,30540,11
2054,All-League First Team Outside Linebacker,27310,28
2054,All-League First Team Outside Linebacker,29831,4
2054,All-League First Team Cornerback,29837,0
2054,All-League First Team Cornerback,29893,22
2054,All-League First Team Safety,31577,13
2054,All-League First Team Safety,29114,24
2054,All-League Second Team Quarterback,24120,2
2054,All-League Second Team Running Back,28366,8
2054,All-League Second Team Fullback,27589,24
2054,All-League Second Team Tight End,27620,28
2054,All-League Second Team Wide Receiver,29367,10
2054,All-League Second Team Wide Receiver,30211,16
2054,All-League Second Team Center,21844,20
2054,All-League Second Team Offensive Guard,28654,15
2054,All-League Second Team Offensive Guard,26115,20
2054,All-League Second Team Offensive Tackle,23657,22
2054,All-League Second Team Offensive Tackle,29559,24
2054,All-League Second Team Punter,28743,26
2054,All-League Second Team Kicker,24545,18
2054,All-League Second Team Defensive End,27132,0
2054,All-League Second Team Defensive End,27967,18
2054,All-League Second Team Defensive Tackle,22977,9
2054,All-League Second Team Defensive Tackle,27204,27
2054,All-League Second Team Inside Linebacker,28903,16
2054,All-League Second Team Outside Linebacker,28123,8
2054,All-League Second Team Outside Linebacker,28989,17
2054,All-League Second Team Cornerback,29867,25
2054,All-League Second Team Cornerback,29043,17
2054,All-League Second Team Safety,26622,2
2054,All-League Second Team Safety,29942,25
2054,League's Fastest Man,27646,1
2054,League's Strongest Man,26944,8
2053,Legend of the Game,20123,4
2053,Coach of the Year,662,11
2053,Player of the Year,24120,2
2053,Front Office Bowl MVP,25816,27
2053,Offensive Player of the Year,28285,30
2053,Defensive Player of the Year,29827,20
2053,Offensive Rookie of the Year,30211,16
2053,Defensive Rookie of the Year,30540,11
2053,All-League First Team Quarterback,28285,30
2053,All-League First Team Running Back,27537,22
2053,All-League First Team Fullback,29269,9
2053,All-League First Team Tight End,29295,2
2053,All-League First Team Wide Receiver,29384,26
2053,All-League First Team Wide Receiver,28513,7
2053,All-League First Team Center,21006,11
2053,All-League First Team Offensive Guard,27815,19
2053,All-League First Team Offensive Guard,29488,17
2053,All-League First Team Offensive Tackle,28698,2
2053,All-League First Team Offensive Tackle,28694,27
2053,All-League First Team Punter,24542,1
2053,All-League First Team Kicker,23739,21
2053,All-League First Team Defensive End,27132,0
2053,All-League First Team Defensive End,27106,4
2053,All-League First Team Defensive Tackle,28007,1
2053,All-League First Team Defensive Tackle,28831,18
2053,All-League First Team Inside Linebacker,30540,11
2053,All-League First Team Outside Linebacker,29827,20
2053,All-League First Team Outside Linebacker,25604,29
2053,All-League First Team Cornerback,29053,5
2053,All-League First Team Cornerback,29837,0
2053,All-League First Team Safety,27388,23
2053,All-League First Team Safety,23226,7
2053,All-League Second Team Quarterback,24120,2
2053,All-League Second Team Running Back,25835,17
2053,All-League Second Team Fullback,26766,27
2053,All-League Second Team Tight End,28465,30
2053,All-League Second Team Wide Receiver,28486,22
2053,All-League Second Team Wide Receiver,26852,15
2053,All-League Second Team Center,21840,29
2053,All-League Second Team Offensive Guard,24452,19
2053,All-League Second Team Offensive Guard,26943,18
2053,All-League Second Team Offensive Tackle,22791,20
2053,All-League Second Team Offensive Tackle,27870,19
2053,All-League Second Team Punter,24532,13
2053,All-League Second Team Kicker,28764,22
2053,All-League Second Team Defensive End,28803,22
2053,All-League Second Team Defensive End,28780,17
2053,All-League Second Team Defensive Tackle,22965,15
2053,All-League Second Team Defensive Tackle,29716,31
2053,All-League Second Team Inside Linebacker,23889,27
2053,All-League Second Team Outside Linebacker,28989,17
2053,All-League Second Team Outside Linebacker,24735,13
2053,All-League Second Team Cornerback,29043,17
2053,All-League Second Team Cornerback,25649,12
2053,All-League Second Team Safety,26570,1
2053,All-League Second Team Safety,29915,31
2053,League's Fastest Man,26874,27
2053,League's Strongest Man,27798,20
2052,Legend of the Game,16509,30
2052,Coach of the Year,399,7
2052,Player of the Year,19861,7
2052,Front Office Bowl MVP,24101,26
2052,Offensive Player of the Year,27449,21
2052,Defensive Player of the Year,27106,4
2052,Offensive Rookie of the Year,29216,15
2052,Defensive Rookie of the Year,29827,20
2052,All-League First Team Quarterback,27449,21
2052,All-League First Team Running Back,28388,21
2052,All-League First Team Fullback,25034,4
2052,All-League First Team Tight End,25940,0
2052,All-League First Team Wide Receiver,25979,18
2052,All-League First Team Wide Receiver,27647,23
2052,All-League First Team Center,25224,8
2052,All-League First Team Offensive Guard,26115,20
2052,All-League First Team Offensive Guard,23612,8
2052,All-League First Team Offensive Tackle,26204,21
2052,All-League First Team Offensive Tackle,19407,4
2052,All-League First Team Punter,27059,9
2052,All-League First Team Kicker,26254,6
2052,All-League First Team Defensive End,27106,4
2052,All-League First Team Defensive End,28821,12
2052,All-League First Team Defensive Tackle,22118,3
2052,All-League First Team Defensive Tackle,23804,5
2052,All-League First Team Inside Linebacker,28903,16
2052,All-League First Team Outside Linebacker,24778,28
2052,All-League First Team Outside Linebacker,26467,29
2052,All-League First Team Cornerback,25667,9
2052,All-League First Team Cornerback,28193,2
2052,All-League First Team Safety,27388,9
2052,All-League First Team Safety,23226,7
2052,All-League Second Team Quarterback,26647,22
2052,All-League Second Team Running Back,25021,11
2052,All-League Second Team Fullback,23404,5
2052,All-League Second Team Tight End,28438,8
2052,All-League Second Team Wide Receiver,20972,4
2052,All-League Second Team Wide Receiver,27692,20
2052,All-League Second Team Center,21855,21
2052,All-League Second Team Offensive Guard,28644,11
2052,All-League Second Team Offensive Guard,27794,21
2052,All-League Second Team Offensive Tackle,27840,4
2052,All-League Second Team Offensive Tackle,28709,3
2052,All-League Second Team Punter,27071,25
2052,All-League Second Team Kicker,27920,24
2052,All-League Second Team Defensive End,25571,23
2052,All-League Second Team Defensive End,27132,0
2052,All-League Second Team Defensive Tackle,23830,20
2052,All-League Second Team Defensive Tackle,28007,1
2052,All-League Second Team Inside Linebacker,23052,21
2052,All-League Second Team Outside Linebacker,28989,17
2052,All-League Second Team Outside Linebacker,23062,11
2052,All-League Second Team Cornerback,29859,15
2052,All-League Second Team Cornerback,28214,24
2052,All-League Second Team Safety,22381,0
2052,All-League Second Team Safety,29111,26
2052,League's Fastest Man,24343,16
2052,League's Strongest Man,27798,20
2051,Legend of the Game,14826,30
2051,Coach of the Year,605,19
2051,Player of the Year,24120,2
2051,Front Office Bowl MVP,19896,19
2051,Offensive Player of the Year,24120,2
2051,Defensive Player of the Year,25571,23
2051,Offensive Rookie of the Year,28366,8
2051,Defensive Rookie of the Year,29043,17
2051,All-League First Team Quarterback,24120,2
2051,All-League First Team Running Back,25828,24
2051,All-League First Team Fullback,23383,22
2051,All-League First Team Tight End,21706,21
2051,All-League First Team Wide Receiver,27692,20
2051,All-League First Team Wide Receiver,26901,7
2051,All-League First Team Center,21844,20
2051,All-League First Team Offensive Guard,24452,19
2051,All-League First Team Offensive Guard,22785,27
2051,All-League First Team Offensive Tackle,26195,12
2051,All-League First Team Offensive Tackle,27840,4
2051,All-League First Team Punter,27071,25
2051,All-League First Team Kicker,27920,24
2051,All-League First Team Defensive End,25571,23
2051,All-League First Team Defensive End,25445,5
2051,All-League First Team Defensive Tackle,21302,16
2051,All-League First Team Defensive Tackle,22965,15
2051,All-League First Team Inside Linebacker,23031,7
2051,All-League First Team Outside Linebacker,24778,28
2051,All-League First Team Outside Linebacker,24735,13
2051,All-League First Team Cornerback,29043,17
2051,All-League First Team Cornerback,29053,5
2051,All-League First Team Safety,23222,6
2051,All-League First Team Safety,28233,29
2051,All-League Second Team Quarterback,19025,5
2051,All-League Second Team Running Back,27537,22
2051,All-League Second Team Fullback,27573,11
2051,All-League Second Team Tight End,25929,27
2051,All-League Second Team Wide Receiver,20112,28
2051,All-League Second Team Wide Receiver,21754,24
2051,All-League Second Team Center,20160,4
2051,All-League Second Team Offensive Guard,21056,7
2051,All-League Second Team Offensive Guard,26105,2
2051,All-League Second Team Offensive Tackle,19407,4
2051,All-League Second Team Offensive Tackle,22791,20
2051,All-League Second Team Punter,25378,31
2051,All-League Second Team Kicker,26256,21
2051,All-League Second Team Defensive End,27967,18
2051,All-League Second Team Defensive End,27106,4
2051,All-League Second Team Defensive Tackle,24670,5
2051,All-League Second Team Defensive Tackle,23839,4
2051,All-League Second Team Inside Linebacker,26429,23
2051,All-League Second Team Outside Linebacker,26453,0
2051,All-League Second Team Outside Linebacker,28100,5
2051,All-League Second Team Cornerback,25678,27
2051,All-League Second Team Cornerback,24846,20
2051,All-League Second Team Safety,25732,3
2051,All-League Second Team Safety,22381,10
2051,League's Fastest Man,27646,1
2051,League's Strongest Man,24459,3
2050,Legend of the Game,14026,0
2050,Coach of the Year,288,12
2050,Player of the Year,18179,23
2050,Front Office Bowl MVP,19896,19
2050,Offensive Player of the Year,18179,23
2050,Defensive Player of the Year,23926,2
2050,Offensive Rookie of the Year,27537,22
2050,Defensive Rookie of the Year,27967,18
2050,All-League First Team Quarterback,18179,23
2050,All-League First Team Running Back,23340,28
2050,All-League First Team Fullback,21700,23
2050,All-League First Team Tight End,23438,6
2050,All-League First Team Wide Receiver,26003,22
2050,All-League First Team Wide Receiver,26901,7
2050,All-League First Team Center,20140,16
2050,All-League First Team Offensive Guard,23631,28
2050,All-League First Team Offensive Guard,26943,12
2050,All-League First Team Offensive Tackle,25341,26
2050,All-League First Team Offensive Tackle,22824,15
2050,All-League First Team Punter,24542,3
2050,All-League First Team Kicker,22022,25
2050,All-League First Team Defensive End,23787,3
2050,All-League First Team Defensive End,24569,15
2050,All-League First Team Defensive Tackle,21248,6
2050,All-League First Team Defensive Tackle,23839,4
2050,All-League First Team Inside Linebacker,23052,21
2050,All-League First Team Outside Linebacker,23926,2
2050,All-League First Team Outside Linebacker,27307,24
2050,All-League First Team Cornerback,25639,8
2050,All-League First Team Cornerback,25678,23
2050,All-League First Team Safety,20641,27
2050,All-League First Team Safety,25732,3
2050,All-League Second Team Quarterback,24120,2
2050,All-League Second Team Running Back,21663,17
2050,All-League Second Team Fullback,25913,20
2050,All-League Second Team Tight End,24276,17
2050,All-League Second Team Wide Receiver,23504,15
2050,All-League Second Team Wide Receiver,24350,14
2050,All-League Second Team Center,21849,3
2050,All-League Second Team Offensive Guard,22733,28
2050,All-League Second Team Offensive Guard,26140,19
2050,All-League Second Team Offensive Tackle,21115,12
2050,All-League Second Team Offensive Tackle,25349,5
2050,All-League Second Team Punter,27059,9
2050,All-League Second Team Kicker,20333,28
2050,All-League Second Team Defensive End,25571,23
2050,All-League Second Team Defensive End,26307,3
2050,All-League Second Team Defensive Tackle,23804,5
2050,All-League Second Team Defensive Tackle,19608,11
2050,All-League Second Team Inside Linebacker,27227,12
2050,All-League Second Team Outside Linebacker,25613,13
2050,All-League Second Team Outside Linebacker,24778,28
2050,All-League Second Team Cornerback,22323,1
2050,All-League Second Team Cornerback,23161,29
2050,All-League Second Team Safety,23226,7
2050,All-League Second Team Safety,23236,31
2050,League's Fastest Man,25175,15
2050,League's Strongest Man,21084,6
2049,Legend of the Game,14815,16
2049,Coach of the Year,662,13
2049,Player of the Year,23289,31
2049,Front Office Bowl MVP,22443,17
2049,Offensive Player of the Year,23289,31
2049,Defensive Player of the Year,23865,12
2049,Offensive Rookie of the Year,26690,30
2049,Defensive Rookie of the Year,27294,21
2049,All-League First Team Quarterback,23289,31
2049,All-League First Team Running Back,26690,30
2049,All-League First Team Fullback,26766,27
2049,All-League First Team Tight End,23438,6
2049,All-League First Team Wide Receiver,22675,31
2049,All-League First Team Wide Receiver,25116,16
2049,All-League First Team Center,21006,11
2049,All-League First Team Offensive Guard,22781,27
2049,All-League First Team Offensive Guard,26115,31
2049,All-League First Team Offensive Tackle,25334,0
2049,All-League First Team Offensive Tackle,22791,20
2049,All-League First Team Punter,24542,3
2049,All-League First Team Kicker,21187,17
2049,All-League First Team Defensive End,23769,29
2049,All-League First Team Defensive End,23787,3
2049,All-League First Team Defensive Tackle,24652,22
2049,All-League First Team Defensive Tackle,21302,16
2049,All-League First Team Inside Linebacker,23031,7
2049,All-League First Team Outside Linebacker,23865,12
2049,All-League First Team Outside Linebacker,25604,22
2049,All-League First Team Cornerback,23966,27
2049,All-League First Team Cornerback,24813,23
2049,All-League First Team Safety,22372,0
2049,All-League First Team Safety,21528,12
2049,All-League Second Team Quarterback,17399,25
2049,All-League Second Team Running Back,23314,10
2049,All-League Second Team Fullback,22553,1
2049,All-League Second Team Tight End,17547,17
2049,All-League Second Team Wide Receiver,24350,14
2049,All-League Second Team Wide Receiver,19240,25
2049,All-League Second Team Center,20160,4
2049,All-League Second Team Offensive Guard,23631,28
2049,All-League Second Team Offensive Guard,24407,11
2049,All-League Second Team Offensive Tackle,24519,10
2049,All-League Second Team Offensive Tackle,21979,13
2049,All-League Second Team Punter,16953,23
2049,All-League Second Team Kicker,25397,29
2049,All-League Second Team Defensive End,23798,1
2049,All-League Second Team Defensive End,20348,8
2049,All-League Second Team Defensive Tackle,22977,9
2049,All-League Second Team Defensive Tackle,22052,12
2049,All-League Second Team Inside Linebacker,26429,23
2049,All-League Second Team Outside Linebacker,24735,13
2049,All-League Second Team Outside Linebacker,25602,17
2049,All-League Second Team Cornerback,25678,23
2049,All-League Second Team Cornerback,23161,29
2049,All-League Second Team Safety,22381,10
2049,All-League Second Team Safety,20641,27
2049,League's Fastest Man,20919,29
2049,League's Strongest Man,22732,9
2048,Legend of the Game,13229,29
2048,Coach of the Year,460,6
2048,Player of the Year,17399,25
2048,Front Office Bowl MVP,19842,6
2048,Offensive Player of the Year,17399,25
2048,Defensive Player of the Year,25571,23
2048,Offensive Rookie of the Year,25828,24
2048,Defensive Rookie of the Year,26568,14
2048,All-League First Team Quarterback,17399,25
2048,All-League First Team Running Back,21645,4
2048,All-League First Team Fullback,22553,1
2048,All-League First Team Tight End,18362,1
2048,All-League First Team Wide Receiver,24367,27
2048,All-League First Team Wide Receiver,25116,16
2048,All-League First Team Center,21006,11
2048,All-League First Team Offensive Guard,23620,4
2048,All-League First Team Offensive Guard,19350,21
2048,All-League First Team Offensive Tackle,24519,10
2048,All-League First Team Offensive Tackle,22824,15
2048,All-League First Team Punter,26237,25
2048,All-League First Team Kicker,25390,7
2048,All-League First Team Defensive End,21290,10
2048,All-League First Team Defensive End,24569,15
2048,All-League First Team Defensive Tackle,23839,4
2048,All-League First Team Defensive Tackle,19608,11
2048,All-League First Team Inside Linebacker,18789,16
2048,All-League First Team Outside Linebacker,25571,23
2048,All-League First Team Outside Linebacker,24735,13
2048,All-League First Team Cornerback,24813,23
2048,All-League First Team Cornerback,21432,31
2048,All-League First Team Safety,21498,27
2048,All-League First Team Safety,22381,10
2048,All-League Second Team Quarterback,19842,6
2048,All-League Second Team Running Back,24978,1
2048,All-League Second Team Fullback,21700,23
2048,All-League Second Team Tight End,23438,6
2048,All-League Second Team Wide Receiver,23504,15
2048,All-League Second Team Wide Receiver,19240,25
2048,All-League Second Team Center,20140,16
2048,All-League Second Team Offensive Guard,21899,5
2048,All-League Second Team Offensive Guard,21052,1
2048,All-League Second Team Offensive Tackle,22807,11
2048,All-League Second Team Offensive Tackle,22810,19
2048,All-League Second Team Punter,23701,14
2048,All-League Second Team Kicker,24561,16
2048,All-League Second Team Defensive End,22101,21
2048,All-League Second Team Defensive End,25457,13
2048,All-League Second Team Defensive Tackle,22127,12
2048,All-League Second Team Defensive Tackle,21302,16
2048,All-League Second Team Inside Linebacker,23027,20
2048,All-League Second Team Outside Linebacker,21368,21
2048,All-League Second Team Outside Linebacker,25615,26
2048,All-League Second Team Cornerback,25678,23
2048,All-League Second Team Cornerback,26506,7
2048,All-League Second Team Safety,26568,14
2048,All-League Second Team Safety,23222,6
2048,League's Fastest Man,26531,0
2048,League's Strongest Man,21030,20
2047,Legend of the Game,12365,11
2047,Coach of the Year,460,6
2047,Player of the Year,21643,6
2047,Front Office Bowl MVP,18220,9
2047,Offensive Player of the Year,21643,6
2047,Defensive Player of the Year,20348,8
2047,Offensive Rookie of the Year,24947,10
2047,Defensive Rookie of the Year,25736,25
2047,All-League First Team Quarterback,19896,19
2047,All-League First Team Running Back,21643,6
2047,All-League First Team Fullback,24213,30
2047,All-League First Team Tight End,17547,17
2047,All-League First Team Wide Receiver,22615,11
2047,All-League First Team Wide Receiver,22675,31
2047,All-League First Team Center,20140,16
2047,All-League First Team Offensive Guard,21032,17
2047,All-League First Team Offensive Guard,19381,5
2047,All-League First Team Offensive Tackle,20257,5
2047,All-League First Team Offensive Tackle,21086,27
2047,All-League First Team Punter,25360,20
2047,All-League First Team Kicker,25397,29
2047,All-League First Team Defensive End,20348,8
2047,All-League First Team Defensive End,21290,10
2047,All-League First Team Defensive Tackle,23830,20
2047,All-League First Team Defensive Tackle,22994,3
2047,All-League First Team Inside Linebacker,23872,19
2047,All-League First Team Outside Linebacker,23865,12
2047,All-League First Team Outside Linebacker,21410,1
2047,All-League First Team Cornerback,19743,14
2047,All-League First Team Cornerback,20607,26
2047,All-League First Team Safety,21498,27
2047,All-League First Team Safety,22381,10
2047,All-League Second Team Quarterback,19842,6
2047,All-League Second Team Running Back,23340,14
2047,All-League Second Team Fullback,19167,18
2047,All-League Second Team Tight End,21751,24
2047,All-League Second Team Wide Receiver,23473,30
2047,All-League Second Team Wide Receiver,24367,27
2047,All-League Second Team Center,21006,11
2047,All-League Second Team Offensive Guard,19350,21
2047,All-League Second Team Offensive Guard,20197,22
2047,All-League Second Team Offensive Tackle,23635,15
2047,All-League Second Team Offensive Tackle,21135,3
2047,All-League Second Team Punter,16953,23
2047,All-League Second Team Kicker,22022,25
2047,All-League Second Team Defensive End,22922,31
2047,All-League Second Team Defensive End,20394,7
2047,All-League Second Team Defensive Tackle,23809,9
2047,All-League Second Team Defensive Tackle,21302,16
2047,All-League Second Team Inside Linebacker,23873,5
2047,All-League Second Team Outside Linebacker,24735,13
2047,All-League Second Team Outside Linebacker,23094,22
2047,All-League Second Team Cornerback,25680,10
2047,All-League Second Team Cornerback,23161,29
2047,All-League Second Team Safety,23222,6
2047,All-League Second Team Safety,19812,21
2047,League's Fastest Man,18423,14
2047,League's Strongest Man,21030,20
2046,Legend of the Game,15935,24
2046,Coach of the Year,332,2
2046,Player of the Year,14026,0
2046,Front Office Bowl MVP,19025,2
2046,Offensive Player of the Year,14026,0
2046,Defensive Player of the Year,23928,20
2046,Offensive Rookie of the Year,24168,3
2046,Defensive Rookie of the Year,24735,13
2046,All-League First Team Quarterback,14026,0
2046,All-League First Team Running Back,23340,14
2046,All-League First Team Fullback,18329,28
2046,All-League First Team Tight End,17547,17
2046,All-League First Team Wide Receiver,20079,13
2046,All-League First Team Wide Receiver,19269,0
2046,All-League First Team Center,19317,6
2046,All-League First Team Offensive Guard,22780,24
2046,All-League First Team Offensive Guard,20171,19
2046,All-League First Team Offensive Tackle,20255,24
2046,All-League First Team Offensive Tackle,19442,3
2046,All-League First Team Punter,16969,15
2046,All-League First Team Kicker,24545,0
2046,All-League First Team Defensive End,20379,22
